Company,Country,Sector,Industry,ISIN,Year,Published,CSRD Compliant,Report Year,Pages,Report Link
"Antibiotice ","Romania","Health Care","Biotechnology & Pharmaceuticals","ROATBIACNOR9","2024","2025-04-16","full","First Year CSRD","294","https://m.bvb.ro/infocont/infocont25/ATB_20250416075508_2024-Annual-Report.pdf"
"KRKA tovarna zdravil d.d. Novo mesto","Slovenia","Health Care","Biotechnology & Pharmaceuticals","SI0031102120","2024","2025-04-10","full","First Year CSRD","115","https://www.krka.biz/_assets/Annual-Report-2024.pdf"
"Ipsen","France","Health Care","Biotechnology & Pharmaceuticals","FR0010259150","2024","2025-04-07","full","First Year CSRD","213","https://www.ipsen.com/websites/ipsen_com_v2/wp-content/uploads/2025/04/17154159/2024-Universal-Registration-Document.pdf"
"AddLife AB","Sweden","Health Care","Biotechnology & Pharmaceuticals","SE0014401378","2024","2025-04-04","partial","First Year CSRD","61","https://www.add.life/media/vnxdkd0s/addlife-annual-report-2024.pdf"
"Attendo AB","Sweden","Health Care","Health Care Delivery","SE0007666110","2024","2025-04-04","partial","First Year CSRD","31","https://www.attendo.com/siteassets/com/dokument/annual-reports/2024/attendo_ar24_eng.pdf"
"Arjo AB","Sweden","Health Care","Medical Equipment & Supplies","SE0010468116","2024","2025-04-03","partial","First Year CSRD","54","https://www.arjo.com/siteassets/01-about-us/investors/2025/annual-report-2024/final-version/arjo_ahr24_eng_final.pdf"
"Euroapi","France","Health Care","Biotechnology & Pharmaceuticals","FR0014008VX5","2024","2025-04-01","full","First Year CSRD","117","https://www.euroapi.com/sites/default/files/2025-04/eri_euroapi2024_urd_en_basse-definition_31march_19h28.pdf"
"Clariane","France","Health Care","Health Care Delivery","FR0010386334","2024","2025-04-01","full","First Year CSRD","191","https://www.clariane.com/sites/default/files/2025-04/CLARIANE_DEU_2024_UK.pdf"
"Swedish Orphan Biovitrum AB","Sweden","Health Care","Biotechnology & Pharmaceuticals","SE0000872095","2024","2025-03-31","partial","First Year CSRD","44","https://www.sobi.com/sites/sobi/files/pr/202503277259-1-1.pdf"
"Pihlajalinna Oyj","Finland","Health Care","Health Care Delivery","FI4000092556","2024","2025-03-31","full","First Year CSRD","71","https://investors.pihlajalinna.fi/~/media/Files/P/Pihlajalinna-IR-V2/AGM-2025/Pihlajalinna_Annual_Report_2024_EN.pdf"
"QIAGEN","Netherlands","Health Care","Biotechnology & Pharmaceuticals","NL0015001WM6","2024","2025-03-31","full","First Year CSRD","98","https://www.qiagen.com/-/media/project/qiagen/qiagen-home/about-qiagen-website/annual-results-2024/docs/2024-ifrs-annual-report.pdf?la=en-ca"
"GPI SpA","Italy","Health Care","Health Care Delivery","IT0005221517","2024","2025-03-28","full","First Year CSRD","75","https://www.gpigroup.com/app/uploads/2025/04/GPI-REPORT-ENG-WEB.pdf"
