Company,Country,Sector,Industry,ISIN,Year,Published,CSRD Compliant,Report Year,Pages,Report Link
"GSK","United Kingdom","Health Care","Biotechnology & Pharmaceuticals","GB00BN7SWP63","2024","2025-02-26","partial","First Year CSRD","54","https://www.gsk.com/media/2a0pomqk/responsible-business-performance-report-2024.pdf"
"Novonesis","Denmark","Health Care","Biotechnology & Pharmaceuticals","DK0060336014","2024","2025-02-26","full","First Year CSRD","70","https://media.novonesis.com/Novonesis_Annual_Report_2024.pdf"
"Laboratorios Farmaceuticos Rovi SA","Spain","Health Care","Biotechnology & Pharmaceuticals","ES0157261019","2024","2025-02-25","full","First Year CSRD","169","https://www.rovi.es/sites/default/files/audit_report_annual_accounts_and_management_report_rovi_group_2024.pdf"
"Grifols","Spain","Health Care","Biotechnology & Pharmaceuticals","ES0171996087","2024","2025-02-25","partial","First Year CSRD","235","https://www.cnmv.es/webservices/verdocumento/ver?e=qg%2bwsFsrxPu9L7bgiPACziJs3cK80xVpwaYndxidzOuEhY8wWp9yOrsFup0pipEp"
"Almirall SA","Spain","Health Care","Biotechnology & Pharmaceuticals","ES0157097017","2024","2025-02-24","full","First Year CSRD","155","https://www.almirall.com/documents/portlet_file_entry/4257831/EN+-+EINF+2024+Almirall+%283%29.pdf/0b43afc5-b78f-64cf-d8df-e9c9c9b7cec1?download=true"
"ALK","Denmark","Health Care","Biotechnology & Pharmaceuticals","DK0061802139","2024","2025-02-19","full","First Year CSRD","70","https://ir.alk.net/static-files/b6b65921-c84e-45c4-8b5a-e6f91bc00cbd"
"Sartorius","Germany","Health Care","Medical Equipment & Supplies","DE0007165631","2024","2025-02-17","full","First Year CSRD","100","https://www.sartorius.com/download/1661808/fy-2024-download-sag-annual-report-en-data.pdf"
"Sartorius Stedim Biotech","France","Health Care","Medical Equipment & Supplies","FR0013154002","2024","2025-02-17","full","First Year CSRD","92","https://www.sartorius.com/download/1662024/fy-2024-download-ssb-annual-report-en-data.pdf"
"Sanofi","France","Health Care","Biotechnology & Pharmaceuticals","FR0000120578","2024","2025-02-13","full","First Year CSRD","162","https://www.sanofi.com/assets/dotcom/content-app/publications/esg-reports/sustainability-statement-2024--ESG-Report-.pdf"
"Genmab","Denmark","Health Care","Biotechnology & Pharmaceuticals","DK0010272202","2024","2025-02-12","full","First Year CSRD","57","https://attachment.news.eu.nasdaq.com/aea8fb1fc8552902fb0e68d02f3c1b189"
"GN Store Nord","Denmark","Health Care","Medical Equipment & Supplies","DK0010272632","2024","2025-02-06","full","First Year CSRD","65","https://www.gn.com/-/media/Files/Document-Download-Center/Corporate-governance/AR2024/GN-Annual-Report-2024.pdf"
"AstraZeneca","United Kingdom","Health Care","Biotechnology & Pharmaceuticals","GB0009895292","2024","2025-02-06","partial","First Year CSRD","9","https://www.astrazeneca.com/investor-relations/annual-reports/annual-report-2024.html"
"Novo Nordisk","Denmark","Health Care","Biotechnology & Pharmaceuticals","DK0062498333","2024","2025-02-05","full","First Year CSRD","54","https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2025/novo-nordisk-annual-report-2024.pdf"
"Demant","Denmark","Health Care","Medical Equipment & Supplies","DK0060738599","2024","2025-02-05","full","First Year CSRD","66","https://assets-we.cas.dgs.com/-/media/demant/shared/new-library-2022/financial-reports/annual-report-english/demant-annual-report-2024_2.pdf?la=en&rev=0487&hash=BF20FE17B1586ABE0B06D808F899EC67"
"Lundbeck","Denmark","Health Care","Biotechnology & Pharmaceuticals","DK0061804697","2024","2025-02-04","full","First Year CSRD","86","https://www.lundbeck.com/content/dam/lundbeck-com/masters/global-site/global-site/investors/2024/fy24/Lundbeck%20Annual%20Report%202024.pdf"
"Siemens Healthineers","Germany","Health Care","Medical Equipment & Supplies","DE000SHL1006","2024","2024-11-26","none","First Year CSRD","","https://corporate.webassets.siemens-healthineers.com/19a152831fb49a63/3c50a8a96185/siemens-healthineers-sustainability-report-2024.pdf"
"Coloplast A/S","Denmark","Health Care","Medical Equipment & Supplies","DK0060448595","2024","2024-11-05","full","First Year CSRD","21","https://www.coloplast.com/siteassets/investors/annual-reports/07_2024_annual_report_2023-24.pdf"
"Terveystalo Oyj","Finland","Health Care","Health Care Delivery","FI4000252127","2024","","full","First Year CSRD","66","https://www.terveystalo.com/globalassets/yhtio/sijoittajat/vuosikertomus-2024/terveystalo_annual_report_2024.pdf"
"QIAGEN","Netherlands","Health Care","Biotechnology & Pharmaceuticals","NL0015001WM6","2024","","none","First Year CSRD","","https://www.qiagen.com/-/media/Project/Qiagen/Qiagen-Home/About-QIAGEN-website/Sustainability/Docs/2024-Sustainability-Statement.pdf"
"Siemens Healthineers","Germany","Health Care","Medical Equipment & Supplies","DE000SHL1006","2024","","none","First Year CSRD","","https://corporate.webassets.siemens-healthineers.com/427714ab59c7e09a/34f542dcc913/siemens-healthineers-ir-annual-report-2024.pdf"
"Dermapharm Holding SE","Germany","Health Care","Biotechnology & Pharmaceuticals","DE000A2GS5D8","2024","","full","First Year CSRD","50","https://ir.dermapharm.de/fileadmin/Dermapharm-se/Dokumenten/Dokumenten_DE/Investor_Relations/Nachhaltigkeit/CSR-BERICHTE/Dermapharm_SeparateNonfinancialGroupReport-2024_en_mLinks_locked.pdf"
"Suominen OYJ","Finland","Health Care","Medical Equipment & Supplies","FI0009010862","2024","","full","First Year CSRD","57","https://www.suominen.fi/globalassets/investors/annual-reports/en/suominen_annual-report-2024.pdf"
"STRATEC SE","Germany","Health Care","Medical Equipment & Supplies","DE000STRA555","2024","","full","First Year CSRD","66","https://www.stratec.com/fileadmin/IR/Financial_Reports/2024/STRATEC_AR_2024_e_2.pdf"
